userName,score,at,content
Abdillah Ariya Atmaja,5,2021-12-14 19:35:52,"Jujur aja bagus sih sebenernya,,cuman sayangnya produk yang tersedia tidak memakai bank mandiri untuk kustodian/penampung sehingga setiap transaksi saya harus dipotong biaya admin karena bank yang saya gunakan adalah bank mandiri...yaa meskipun itu bukan dari pihak bibitnya tapi cuman mau memberi kritik dan saran saja :)"
Fety Ferawaty,1,2021-12-14 11:34:38,Saya cuman ngetes witdraw uang saya 10ribu.sudah 3 hari..nyatanya uang saya tidak masuk rekening sama sekali. Tolong hapus data data saya di bibit saya tidak jadi untuk inves di apk ini. Dan tolong jangan disalahgunakan data data saya.. Terima kasih
Syifa Afifah,4,2021-12-12 12:44:22,"4 stars untuk smentara, so far so good aplikasinya untuk pemula. Untuk yang baru buat akun reksadana silahkan gunakan referral dibawah ini : bibitexo . Pengguna baru akan diberikan cashback 25rb. Silahkan ajak temen² kalian melek investasi sedari sekarang!"
Muhammad Hasan Abdul Malik,5,2021-12-11 18:28:10,"Aplikasi nya bagus sebenarnya, cuma tolong d perbaiki di tampilan nya, soalnya di hp saya kadang icon menu gak muncul, tombol back yg gak kelihatan dan Konten yang gak ke load semua. Terimakasih"
Zakky Ilham,1,2021-12-11 09:56:32,Aplikasi yang tidak rekomen.. Pencairan dana sangat memakan waktu dan bertele tele.. dgn alasan rek akun tidak aktif.. Pdhal saat top up menggunakan akun bank yg sama.. Top up 100rb hrga yg murah utk bisa tau kualitas dr app ini .. 😄Thx bibit
Alpin Tri Khatami,1,2021-12-09 22:04:23,tolong lah di perbaiki bug limit pembayaran yang blum terselesaikan. ada solusinya gitu misalnya ada pilihan batalkan pesanan. atau jangan masukin limit untuk pesanan yang belum terbayar. ngeselin banget
Dwi Artanto,5,2021-12-09 20:47:18,Aplikasi yang bagus.. Tampilan mudah dipahami.. Cara menggunakannya juga mudah.. Rekomen banget ya yang belum gabung cuss download.. Pake referal aku wulanbibit22 biar bisa dapat bonus.. 🙏🏿
Agus Setyawan,5,2021-12-09 15:00:24,"Mudah digunakan, user interface friendly, update berita tentang pembaharuan MI, mudah untuk top up karena banyak pilihan metode pembayaran. Makin banyak fitur-fitur asyik."
Dani AK,1,2021-12-09 10:07:37,"Uang saya belum balik.tapi setatus jualnya berhasil di tgl 29 november tapi sampai sekarang cek saldo nggak nambah nambah.ywdhlah mungkin belum rezki,buat temen2 yg baru di bibit saran kalo mau jual reksadana jangan sekaligus di hari yg sama nanti yg satu bakalan nyangkut kaya saya 🙏🙏🙏"
Nur Della,5,2021-12-09 09:18:44,"Saya masih bberapa bulan menggunakan bibit. Sejauh ini bibit lumayan bagus, mulai dari pembelian reksadana nya tidak membutuhkan waktu yg terlalu lama, tim bibit juga cepat dlm memberikan feedback saat ada kendala/ permasalahan yg kita tidak faham. Tetap terus pertahankan dan tingkatkan supaya menjadi yg lebih baik lagi."
Dimas Tauhid Cahyadi,5,2021-12-08 18:17:30,"Aplikasi oke banget buat pemula dana keuangan nya diatur, masukin kode: dapatcasbackbanyak Buat dapat casbackk banyakkkk, pemula wajib daftar"
Tedi Nurulhadi,2,2021-12-07 12:25:02,"Verifikasi lama, di tolak karena foto ktp blur... Tidak seperti yang lain yang memberi solusi mudah, ini di suruh ke dukcapil untuk upgrade e-ktp. (Mohon maaf kalo bisa semudah itu, udah saya lakukan dari dulu.dan untuk data2 lain di e-ktp saya pun masih jelas ko, hanya di bagian FOTO saja yang blur)"
piqie julian pamungkas,5,2021-12-05 21:34:41,"Mantap sih ini bibit saya sudah pakai bibit ini dari tahun 2019 tapi ga ada kenadala apapun mulaindari penarikah yang kadang lama sih tapi itu ga masalah buat saya, sama pembelian ya kalo bisa sih proses pembeliannya di percepat , 1 hari atau 12 jam. Harapan saya sih sebagai pengguna lama"
Jamal AnKal,1,2021-12-04 15:58:53,"Saya rasa lebih baik RAIZ invest dibandingkan bibit, karena setiap penarikan di aplikasi bibit selalu dikenakan biaya, harusnya hasil penjualan dari nasabah diterima dulu oleh rekening pusat bibit dan diteruskan ke rekening nasabah jadi biar tidak terkena biaya admin, mending kalo setiao pembelian cuma 1 reksa dana / obligasi nah kalo lebih"
Fransiscus Xaverius,1,2021-12-03 13:23:55,"Verifikasi lama, setelah itu di bilang nama ktp dgn bak berbeda padahal hanya di ktp ada singkatan dan di bank tidak boleh di singkat. Lalu buat top up ajah lama. Komen juga kurang bagussss, menang karena di iklankan oleh Master sulat ( Dedy ).... Ajah. Klw memang hanya karena itu tidak bisa di verifikasi , ya gpp... Gak rugiko. Toh sistem masih lamaa..."
Okta_Channel,1,2021-11-28 09:12:17,"Mohon maaf. Saya beri bintang satu. Sebenarnya tidak ada masalah pada bibit. Hanya saja proses pengenalan database sistem pada pengguna baru tidak konek dgn data bank. Data bank yg diminta sudah valid, berikut nama dan fotonya. Namun di bibit tetap dianggap gagal dan tidak valid. Saat menyampaikan komplain di alamat email balasan, ada peringatan ""email tidak terdaftar"". Padahal kalau tidak terdaftar maka email konfirmasi tidak akan sampai ke tempat tujuan. Ah, yasudahlah"
Dowi Jr,1,2021-11-26 16:04:01,"Kenapa ini setelah saya melakukan registrasi dan melengkapi data-data yang ada, tiba-tiba aplikasi bibit saya tidak bisa di buka, malah bertuliskan ""Koneksi anda tidak stabil"", padahal jaringan udah bagus, udah saya uninstall ulang, bagaimana cara mengatasi nya."
FACHRUR ROZI AMRIL MUTTAQIN,1,2021-11-25 23:09:32,"Nggak cocok untuk tabunga darurat, simpanan dana, atau tabungan, Pola pikir masih sangat jauh dari kata modern dan simpel, semua entah penarikan atau deposit sangat lambat Ketika aplikasi yang lain berlomba untuk memanjakan nasabahnya dengan proses pelayanan yang cepat Lah bibit?!, memperlambat pelayanan dengan embel embel ""KEAMANAN"", KAN YANG AMAN, PROSES SIMPLE KAN ADA MAS BRO, MAKSUD SAYA PROSES SETOR/ PENARIKAN SAMPE 3 HARI LEBIH ITU, DANANYA DIAPAIN AJA..... KURANG LAMA KAH"
Alberd Fau,5,2021-11-24 18:38:23,"Hi admin Bibit, salam kenal saya pengguna Bibit sudah lumayan lama. Menurut saya aplikasi Bibit ini sudah sangat baik, semua keterangan sudah tertulis jelas sehingga mudah dipahami bagi para pemula yang ingin investasi. Namun jika boleh saya memberikan saran, sebaiknya dibuat juga mode tampilan malam (gelap) sehingga mata lebih nyaman lagi apabila menggunakan aplilasi di malam hari. Semoga masukan saya bisa jadi pertimbanhan dan dapat penjadi masukan baik bagi Bibit. Terimakasih."
Agus Sugiyanto,5,2021-11-24 16:54:47,"Sudah hampir 1 tahun gabung Bibit, selalu rutin nabung tiap bulan, akhirnya bisa kebeli barang yang diimpikan.... Terimakasih Bibit... Buat kalian, jangan ragu gabung Bibit. Jangan lupa juga! Buat yang baru mau daftar, masukin kode referral ""pakecashback"" . Lumayan dapet saldo cashback 25K. Ok. Thanks."
Anthony Yuliana Aziz,1,2021-11-24 16:08:52,"Untuk registrasi, saya rasa tandatangan tak harus identik antara KTP dan aplikasi, soalnya 1. Sangat sulit menyamakan tulisan bolpoin sama jari, 2. Ada data lain yang menentukan akurasi, 3. Menyulitkan sekali, sampai saya nulis ulasan ini registrasi saya belum selesai gara-gara tandatangan konyol ini.😩😩😩"
Bu maryam 2021,1,2021-11-22 20:17:32,"Sangat bukan rekomendasi sekali aplikasi ini, proses sangat lama pembelian dan penjualan. Kemarin saya jual reksa dana saya pas naik harga 5% tapi menunggu proses penjualan sekitar 2 minggu ehh malah pas turuj harga reksa dana dan orderan penjualan saya yang belum di bayar sampai sekrang ikutan turun. Aplikasi bobrok. Jangan ada yg mau download, gak percaya silahkan coba sendri."
Permana Bonsai,1,2021-11-16 08:15:41,"WOYY BALIKIN DUIT GUA.. Jangan pernah coba2 pakai aplikasi bibit. Proses penjualan sangat lama. Padahal di keterangannya order jual sudah berhasil, tapi uang nya tidak sampai2 ke rekening saya sudah hampir 2 minggu.. saya sangat menyesal invest di bibit. Tidak seperti aplikasi lain, proses cukup 2 hari kerja.. sangat tidak recomend banget."
Zulkifli zulkifli,1,2021-11-15 06:49:25,"Untung saya gak ikutan jd gak ada keluhan apapun, ingin dapat uang banyak ya harus kerja keras jangan berharap seperti ini, hati2 banyak penipuan berkedok investasi!!! Kalo mo investasi harus jelas perusahaannya, sdh terdaftar di pemerintah yg berbasis bisnis ini belum?! Jgn sampe kecewa gara2 ingin dpt uang yg gampang dan super instan"
Budy Nk,1,2021-11-14 21:22:17,"nih gimana pihak bibit .. masa kolom bagian profil , data pribadi & setting abu abu nggak bisa di klik... terus padahal baru daftar pake nomor pribadi ehh udah ada ktp orang lain .. gimana itu pencurian data namanya. parah banget .. kalo bisa lampirin foto ,saya lampirin fotonya"
Wey Aja,5,2021-11-13 20:52:07,"Aplikasi bibit ini bagus banget bagi investor pemula, sudah tersedia robo yang mempermudah investor-investor pemula. Jangan lupa pakai kode referral ""tunasbangsa"" supaya dapet cashback yang lumayan, bisa dipakai pada investasi untuk pertama kali dibibit. Terima kasih bibit sudah membantu membuat aplikasi bagus ini, sukses terus bibit😍😍"
Tegar Pamungkas,1,2021-11-13 13:22:34,Aplikasi scam jangan di download dana penjualan saya belum masuk padahal udah nunggu 2 minggu pas saya nanya kenapa belum masuk eehh malah suruh nanya ke bank saya... Yang belum nyoba saya saranin jangan.. Aplikasi ini sangat membahayakan untung belum banyak saya kehilangan uang!!!!!!!!!!!!!!!!!.....
Nacula Lord,1,2021-11-13 01:04:42,Aplikasi penipu. Saya ajak tmn gk dpt cashback. Ktanya tmn nya blum di verifikasi. Stlah tmn saya verifikasi. Tros alasan nya tmn saya harus top up. Stlh tmn saya top up dan smua tlah mmnuhi syarat. Tros ktanya gagal gk msuk kode referal. Kan anjenk. Knpa gk blg drtd. Knpa blg nya pas sdah top up
Eldo Firmanda,1,2021-11-12 09:53:33,Parah.. penarikan sampai berhari hari. Padahal keterangan di aplikasi nya order jual sudah berhasil. Tapi saldo belum masuk. Kapok pake bibit. Aplikasi lain bisa penarikan hitungan menit. Di bibit bisa 2 minggu. Yh pake bibit mending cepat cepat tarik saldo nya pindahin ke reksadana lain
Yhogi Andianggara,1,2021-11-12 08:29:24,"Transaksi lewat gopay sudah sukses tapi belum masuk ke bibit, saya minta pengembalian dana butuh waktu 5 hari untuk apa aja ini ? Padahal bukti transaksi ada transaksi id dari gopay ada. Zaman sudah automation ini, ok lah gak automation tapi proses pengembalian dana pun gak ada info lebih lanjut sampai mana proses nya harus check sendiri saldo gopay sudah kembali atau belum. Transfer dan laporan tanggal 2 November sampai tanggal 12 November belim kembali. Pengurusan ke pihak payment gateway lama"
Shielvia Hamdin,1,2021-11-09 19:02:20,Saya kecewa dengan aplikasi ini topup pakai gopay 2juta udah lebih dari 5hari dananya gak masuk ke saldo bibit tp saldo saya sudah terptong disuruh tunggu 5hari kerja katanya saldonya akan kembali tp ternyata gak jg balik...ditanya berapa lama saya harus menunggu saldp saya balik 1 cspun gak ada yang bisa jawab mereka cuma bisa blg tunggu aja. Ntah sampai kapannya cuma mereka yang th
Risa Alviani Martian,2,2021-11-09 14:34:05,Ko setiap buka aplikasi bibit ini error mulu yah pada di update udah kenapa yah tolong buat admin nya kenapa saya tidak bisa buka aplikasi bibitnya? Tolong responnya Saya kasih bintang segini dulu karna aplikasinya tiba-tiba error begini
Satrio Darma putra,5,2021-11-09 12:42:31,"Saya sangat senang bisa ketemu sama aplikasi bibit saya bisa mulai investasi mulai dari 10.000 aja udah bisa ,tapi harus diperbaiki lagi soal kecepatan penjualan biar gak bertele tele uang masuk kerekening kita mudah mudahan kedepanya diperbaiki masalah masalah seperti itu ,bagi yang baru mau gabung aplikasi bibit saya nitip kode referal :satriodp : biar dapet cashback 25.000 tanks bibit"
Asep Suherdis,3,2021-11-09 08:45:53,"Untuk berinvestasi 1 atau 2 hari sudah masuk. Tapi pencairan, membutuhkan maksimal 7 hari. 3 hari saja sudah berasa lama. Karena uangnya dibutuhkan. Saya sudah 4 hari kerja saja masih belum cair. Saya kira seperti top up bisa cepat ditangani. Ternyata sudah pengajuan lama, pencairan pun lama 😑"
Zaenur Iman,1,2021-11-05 11:02:05,"Penarikan dana lama udah nyampe 2minggu belum masuk ke rekening, disuruh cek mutasi transaksi udah saya lakuin tetep ga ada, disuruh ngirim bukti screenshot mutasi udah saya kirim loadnya lama, muter muter aja terus."
Adi Pangestu TI-BP2,4,2021-11-04 16:16:18,"Overall semua nya bagus dan mudah dimengerti, cmn yang dijadikan kendala dibagian penarikan membutuhkan wktu yang lama , dan tidak adanya fitur status perkembangan dana kita sudah cair/disalurkan atau belum ke rekening kita , mhn untuk memperbaiki lagi ya . Terimakasih"
Boelo loe,3,2021-11-03 16:13:20,Saya gagal buka Aplikasi. Aneh. Tolong diperbaiki Maa/Mba. Connection Error. Direload sampai terompet sangkakala berkumandang gagal terus sepertinya. Terimakasih.
Fahri Fahri,5,2021-10-27 18:45:42,"Aplikasi paling rekomend untuk download bibit sangat cocok buat para pemula menunya sederhana dan muda di pahami ,semoga kedepan kita bisa sukses nabung bersama bibit. Trm ksih PT.BIBIT I LIKE U."
Lisa Alfisah,2,2021-10-27 06:09:29,Penarikan dari tanggal 15 okt sampai sekarang belum juga landing udh 12 hari kenapa sangat lama prosesnya? Jadi ragu utk merekomendasikan ke family & teman2 sbb biasanya seorang yg ingin gabung di suatu bisnis investasi pasti melihat dr cara kerjanya klo serba lemot my BIBIT gk bakalan orang2 akan teryarik 🤕🤕🤕
Yuslisa Mariani Amalia,1,2021-10-27 05:33:53,"Padahal baru mulai, tapi saat mau mendaftarkan akun saja sudah lama prosesnya. Terlebih kode verifikasi nya tidak dikirim-kirim. Padahal biasanya mendaftarkan akun melalui apk tidak seperti ini."
Annisa Setia Candra,5,2021-10-23 22:53:37,app nya mudah digunakan. bagus mudah dimengerti. coba dari jaman kuliah udah tau bibit dan sudah melek finansial pasti ga nyesel. semoga bisa jadi tempat nabung aku untuk waktu yg lama ya. terimakasih
Jaya Abadi,5,2021-10-22 09:52:11,Kode referal: dapatuangloh *dapat cb 25k 😉 Menurut saya bibit aplikasi yang bagus apalagi buat saya yang boros kalau lihat barang pengen beli terus jadi ini bisa buat pengalihan daripada buang uang buat belanja yang sebenarnya gak perlu mending ditabung 👍
Erlan Padikal,5,2021-10-22 08:23:31,"Aplikasi bibit sangat mudah untuk pemula, dengan fitur fitur yang simpel dan keren. Saya sudah mencoba sekitar 5 bulan dan hasilnya menguntungkan. Alig deh, saya bisa mendapatkan 25rb dengan menggunakan kode referral (bibitalig) cobain dehh."
Fitri Fudian,3,2021-10-21 10:26:59,"Sangat disayangkan untuk tarik dana membutuhkan waktu berhari hari,nyoba nominal terendah aja butuh waktu lama,bagaimana kalau nominalnya besar dan pas kita membutuhkan dana tersebut,masa harus nunggu berhari hari...tolong di perbaiki soal sistem tarik dananya👌"
Rizky Murtadho,4,2021-10-20 14:32:42,"Selama ini sih bagus cuma pencairan nya lama banget, nunggu 7 hari dri bank kustodian. Trus nunggu lagi 7 hari baru di transfer jdi total 14 hari kurang lebih, kalo bisa prosesnya dipercepat Sama kurang update grafik, bisa 2 hari belum update kadang lebih Jangan kalah sama aplikasi sebelah"
arifianto prabowo,5,2021-10-19 07:07:19,untuk pemula yang ingin terjun dunia pasar modal lebih baik belajar dulu di reksadana. nah tempat yang bagus untuk belajar reksadana yaa di bibit. di bibit fasilitas dan fitur2 lengkap. sudah disediakan rekomendasi reksadana dari bibit.
Ayu dan Dhira,5,2021-10-19 04:48:53,"Aplikasi yg bagus, saya kasi masukan,bisa gak ya ada fitur tambahan buat setting pisahin modal dan keuntungan, supaya saya bisa narik keuntungan saja,tanpa harus menarik modal, 😂☺️☺️🙏"
Ahmad Ahsani Taqwiim,4,2021-10-13 18:10:25,"Sudah bagus aplikasinya, fitur juga cukup mudah, namun tolong diperbaiki sistem jualnya, saya jual pasar uang tulisanya maks 3 hari kerja, baru sampe rekening saya sekitar 10 hari. Jika bisa diperbaiki sudah lengkap bibit pokonya👍"
Aman - CaVie,5,2021-10-08 11:53:25,"Berkat aplikasi Bibit, saya jadi bisa menghilangkan kebiasaan top up game online dan bermain game. Terima kasih Bibit. yang mau dapet Cashback 25k bisa pakai code ini guys : (arima). Lumayan bisa buat nambah modal kalian di Aplikasi Bibit, Terimakasih."
Rizky Harisandi,1,2021-10-07 13:25:29,"Pencairan nya lama sekali. Maksimal katanya 3 hari kerja, pengajuan saya malah udah mau lebih dari 3 hari kerja, tapi belum cair2 juga Kalau ada yang bener2 ngandelin dari pencairan disini, jangan deh. Lama pencairan nya. Cari investasi lain saja yang pencairan nya cepat"
Putra Ramadhan,5,2021-10-06 20:23:24,"Aplikasi ini mudah digunakan, informasi yang disediakan juga lengkap, dengan interface yang enak dilihat. Buat yang mau dapat cashback jangan lupa pakai kode referal : serulhoinvestasi"
Rina Intisari,1,2021-10-05 16:56:29,"Proses pembelian lama.. Proses pencairan dana sangat lama.. Bikin males invest disini.. Nyesel deh invest di bibit,mending apk lain maksimal pencairan sehari saja !! Aplikasinya sih bagus, cuma prosesnya yg lama.. sayang bgt, ga reccomended.."
M Fiki Ardiansyah,5,2021-10-05 12:33:49,Tetap bertahan ya min untuk yang sudah bagus sekarang ini dan lebih bagus ditingkatkan lagi disegala aspeknya buat kedepannya agar selalu berinovasi juga biar konsumen semakin nyaman bertransaksi di aplikasi bibit
Bagus Dwi Susanto,4,2021-10-04 18:21:16,"Aplikasinya sangat mudah dipahami. Tapi saya punya kendala saat ingin melakukan verifikasi wajah. Karena saya menggunakan kacamata. Saya tidak bisa membaca dengan jelas instruksi (buka mulut, kedip mata, tengok kepala). Sehingga gagal terus. Mohon dikembangkan untuk diberi instruksi berupa suara. Terima kasih."
Ivan Rudovick,1,2021-10-01 10:20:53,"Setelah saya telusuri ternyata benar ini app cuman untuk kalangan atas saja yg punya modal besar dan dan ingin menghambur kan uangnya, bagi kita yg miskin jgn coba coba karna udh pasti gak dpt"
Aida Azela,4,2021-09-29 22:07:04,"Aplikasi nabung reksadana yang cukup baik.. versi produk yang syariah juga ada.. tapi tidak tau kenapa akhir"" ini aplikasi bibit susah banget di buka .. hanya tampilan putih dengan tulisan bibit saja ketika di buka padahal aplikasi sudah di perbaruhi dan di instal ulang juga.. mohon kepada BIBIT untuk bisa membenahi dan meningkatkn pelayanan.. demi kenyamanan kita bersama.. terimakasih"
Bulshitt Bulshitt,2,2021-09-29 11:23:55,"Ini mah ga akan untung klo untuk penginvest2 kecil seperti saya, setelah dicoba cairin, saldo mendem 11ribu, pencairan dana nya lama, lalu pas mau cairin kena biaya 7ribu, nah pas di tf kena admin lg 2.700an, udh gitu di tf nya ga dijadiin 1 yg bikin antum2 semua jd kena admin 2700an terus."
khoirul mawahib,4,2021-09-28 09:40:46,Ini kenapa sekarang susah buka bibit ya?? Cuma tambilan putih aja gk masuk2. Dulu gmpang2 aja masuk tapi sekarang kok susah buat masuk padahal selalu diperbaharui aplikasinya. Tolong dibantu agar lebih cepat masuk jadi gmpang untuk buka aplikasinya.
Jimmy SuLu,3,2021-09-27 09:57:27,Amplikasi setelah update malah lemot sekali dan sangat lama masuk ke amplikasi awal...utk masalah invest nya sih ok.tolong dong utk perbaikan bugs nya
Bagas Prasetya,5,2021-09-24 10:25:45,"Yg ngomong penarikan lama mikir bego,yg lu beli tuh surat2 penting y jualny juga butuh waktu.lu bukan nyimpen duit terus berbunga sendiri,sistemny lu beli item pas lu pengen narik item ny di jual ama aplikasinya.mikir bego bener dah pada gede gk bisa bedain aplikasi reksadana sama penyimpanan uang bodoh bener"
Suka Kita,1,2021-09-21 04:02:37,Aplikasinya tidak akses untuk teman-teman tunanetra yang menggunakan software pembaca layar. Banyak menu tombol yang sulit di klik. Mohon perbaiki aksesibilitasnya. Sehingga support dengan TalkBack.
mochammad syahrul anam,2,2021-09-17 11:33:58,"Entah kenapa di realme xt kadang pas baru buka app sering gagal memuat, harus restart hp dulu baru normal lagi. Tapi ya ntar balik lagi gagal memuat, kudu restart hp lagi, mohon tim pengembang app bisa segera diperbaiki"
Veed So,4,2021-09-14 09:12:07,Sangat direkomendasikan untuk anda yg ingin berinvestasi apalagi untuk pemula fiturnya memudahkan pengguna... Dan untuk admin kok akhir2 ini setelah diupdate performanya mulai lambat dan membuka aplikasi terkesan berat padahal ketika membuka aplikasi lain sangat lancar mohon ditingkatkan untuk kenyamanan pengguna
Zaky Ramadhan,1,2021-09-13 00:15:25,"Maaf untuk aplikasi bibitnya saya kasih bintang satu,saya kesini belajar untuk investasi,malahan yang konon katanya cocok buat pemula,saya kecewa terhadap apk bibit ini sekarang karena tidak bertindak cepat untuk pemulihan bug nya,, saya ingin tarik dana semuanya untuk nge klik aja tidak bisa,, untuk apk bibit sudahlah untuk sponsor nya, lebih fokuskan aja ke masalah apk dan tarik dana nya memakan 1 minggu bahkan tidak bisa dikembalikan, untuk apk bibit mohon tanggung jawabnya"
Batas Waktu,5,2021-09-12 20:32:03,"Sebenernya aku juga baru belajar investasi pakai aplikasi bibit ini, Yang aku suka dari aplikasi ini sih tampilannya mudah banget untuk dipake pemula kayak aku. Buat temen-temen yang baru mau belajar juga kayak aku, dan mau coba investasi pake aja aplikasi bibit ini. Buat yang mau pakai juga, pake kode referral dari aku ya ""untuksebuahmimpi"" biar dapet cashback 25 Ribu."
Khoirul Hapis,2,2021-09-12 20:13:54,"Assalamualaikum Saya sedikit kecewa dengan aplikasi bibit yang kurang peduli dengan Investor pemula yang melakukan investasi dibawah 500ribu, dan setiap melakukan kerja hanya sore itupun hanya 3 Menit (No Profit) sudah itu tidak dikerjakan/dibiarkan saja."
Arul putra,3,2021-09-11 17:32:41,"ini mau tanya. sampai kapan tulisannya terpotong potong ya? mau daftar tapi gak yakin dan bingung soalnya tulisannya kepotong potong gak jelas. kalau gak diperbaikin sih ya skip dulu lah, gak jelas."
Yudistia Lingga Wati,1,2021-09-11 01:15:46,Aplikasi sering error. Tlng donk update ini fungsinya apa kalo masih sering tidak bisa bisa dibuka aplikasi nya
Agus Wisnu Nugroho,5,2021-09-10 13:29:41,"Sering terjadi salah update harga, ketika saya beli reksadana eh ternyata ada kesalahan update dari returnnya, tau gitu saya pilih manager investasi lain, tapi terlanjur beli gara gara tertarik sama harga yang salah update sebelumnya, yah jadinya harus jual dulu deh nunggu 7 hari lagi buat beli reksadana lain, tolong jangan sampai ada kesalahan update harga lagi karena ini sangat fatal & potensi seorang untuk menjual / membeli reksadana yang kurang tepat"
Faizal Kurniawan,2,2021-09-01 16:35:20,Mau mulai aj aplikasinya gak bisa sempurna di hp vivo y81. Mungkin perlu agak berat dikit kali ya biar app gak kayak html.
oki ardiansyah,1,2021-09-01 03:54:41,Sangat disayangkan untuk masalah penarikan sangat sangat sangat lama.. pdahal investasi nya mudah ya tpi itu dlm penarikan sangat tidak mengenakan sekali terimakasih.... Semoga dapat di perbaiki untuk kedepannya.
Fajar A Purnama,3,2021-09-01 02:47:46,"Kok aplikasinya saat dibuka gambarnya kepotong potong ya! Jadi mengganggu banget. Apakah ada bug? Mohon bantuannya min karna setiap buka jadi gak kelihatan, kepotong - potong tampilannya.. terimakasih"
"Mangsila -,-",1,2021-08-27 14:22:47,"Mau registrasi, setelah memasukan no telp, dan saya sudah dapet kode OTP melalui sms. Lah, kok macet loading di logo bibit? Padahal sinyal saya 4G, spesifikasi HP saya juga g masalah... Knp developer bibit?"
Rohmatulloh Abdussallam,5,2021-08-27 11:25:33,"Untuk developer saya mau tanya, apakah Apk bibit juga melayani lewat Telegram, soalnya ada groupnya di Telegram, tapi bedanya untuk deposit jauh lebih mahal di banding di apk nya langsung, bahkan sampai 800K untuk minimal depo"
GGC Project,1,2021-08-26 09:08:43,"Proses pencairan dana yg lama, sedangkan status order pemberitahuannya tidaj detail, setelah Order Jual berhasil (tapi dana akan di transfer sekitar 7 harian) , harusnya di status order dijelaskan juga status dana yg di transfer. Serta kepastiannya kapan. Pas di tanya hanya, jawabannya selalu cek berkala mutasi rekening Anda. SANGAT PAYAH -"
Esti Pramesti,5,2021-08-21 20:38:59,"Sudah hampir setahun pakai aplikasi bibit.. Sejauh ini tidak ada kendala. Proses pencairan lancar dan masuk dengan jumlah yang sesuai. Ini kenapa banyak yang ngasih ulasan jelek ya padahal bagus kok, asal mengerti cara pakainya!!! Cuma saran aja kalau bisa ditambahkan fitur auto debet dari BCA.. Mudah""an kedepannya bisa bekerjasama dengan bank"" dan bisa menambahkan fitur auto debet tersebut."
Baiq Selviana,5,2021-08-13 10:48:40,"sebenernya udah lama banget download app bibit ini, tapi waktu itu belum punya KTP buat daftar, sekarang udah mulai nyoba belajar investasi di bibit via rekomendasi robo, bener-bener bagus banget buat investor pemula, kita cuma rajin-rajin TU aja terus duduk manis nerima hasil dari MI, app ini rekomendasi banget buat pemula yang mau belajar investasi. Salam sukses, salam cuan hehe"
Muhammad Ardhi Ilhamulloh,5,2021-08-12 21:53:50,"Aplikasinya bagus, cuman usernya yang pekok. Investasi di sini itu harus pakai uang dingin, jangka panjang dan cenderung rewardnya kecil, kalau mau rewardnya gede judi bola aja sono."
Sandy N,5,2021-08-11 23:00:08,"Saya sudah 1 tahun lebih berinvestasi di Bibit.., semua lancar dan aman tidak ada masalah.., terkait keuntungan relatif sesuai dengan ketentuan.., Bibit adalah aplikasi investasi untuk tujuan jangka panjang.., dari pada menabung di bank konvensional lebih baik di Bibit sekaligus belajar berinvestasi reksadana yg lebih menguntungkan.., thanks Bibit.."
Me You,5,2021-08-10 15:00:12,"Apk nya mudah di gunakan dan di mengerti. Pernah kepepet ngejual juga masuk rek prosesnya cepat. Sudah beberapa bulan ini pake Bibit dan apk sebelah, semoga kedepannya bisa lebih baik lagi dan lagi.."
Anisa Aryan Nabilah,1,2021-08-09 13:32:05,"Agak kecewa sih Dengan bibit , jual nya dapat potonga yang besar sekitar 2500-6000 sedangkan pembelian gratis, enggak dapat untung malahan rugi besar untuk mendapatkan 2500 itu beberapa harian bisa sampai seminggu atau lebih dari seminggu, kalau bisa potongan nya dikecilkan nih, katanya investasi sangat menguntungkan mana menguntungkan malahan dapat rugi. Kecewa sih"
Abdi Purwanto,1,2021-08-08 07:40:47,"Kenapa ya di hp saya aplikasinya suka ngebug. Kadang ada kotak hitam, menu bar bawah kadang hilang. Posisi text kadang berantakan. Mohon untuk di perbaiki aplikasinya"
Harun Ar Rasyid,4,2021-07-31 18:47:43,"Saya menyarankan agar Bibit dapat menambah jenis metode pembayaran, yaitu melalui OVO. Karena pasti ada kemungkinan pengguna aplikasi Bibit yang sebenarnya lebih sering menggunakan OVO dibanding aplikasi uang digital atau e-banking lainnya. Juga diharapkan untuk pembelian melalui OVO juga sama seperti metode pembayaran lainnya, yaitu bebas harga potongan. Terima kasih."
Nursaadah -,2,2021-07-30 15:07:32,Gak bisa daftar sama sekali karena tampilannya eror ini bagaimana ya aku brlum daftar si cuman d tampilan awalnya saja suda meragukan istilahnya kita mau investasi di apk yg kualitasnya masih eror kayak gini. Sayang banget
Dhika Uchiha,1,2021-07-27 21:07:53,Awalnya sih bagus bibit ya recomended lah utk pemula... Tapi kenapa makin ke sini tampilannya makin acak kadut ???? Klo gini trus bibit bakalan ditinggal sama penggunanya dan pindah ke aplikasi sebelah yg lebih bagus...
Diva Amalia Shahab,1,2021-07-26 19:40:29,"Jelek banget, tampilannya error, jadi susah mau ngapa2in dan bikin ga nyaman. Kalau sdh bagus bakal saya ubah bintangnya. Cepat perbaiki ya"
Estrada Sandi,5,2021-07-25 16:01:56,"Aplikasi reksadan paling bagus, sangat mudah digunakan. Banyak pembelajaran dari sistem yang mudah untuk dipahami. Untuk yang butuh kode referal bisa gunakan ini "" whatbibit "". Terimakasih"
